task,metric,model,k,prompt,delta,ci_low,ci_high,n_pairs,p_value,p_adj,significant,delta_baseline,interaction
reproduction,lexical_f1,gemma-2-9b,0,P1b,-0.009519288492071487,-0.024450271550270256,0.005708403184049842,404,0.2177,0.6874736842105263,False,-0.0029777485238473385,-0.006541539968224148
reproduction,lexical_f1,gemma-2-9b,1,P5a,-0.003082756363820055,-0.01866829012710385,0.0127000727717885,404,0.696,0.9067500000000001,False,-0.004358683573770965,0.00127592720995091
reproduction,lexical_f1,gemma-2-9b,1,P1a,-0.004358683573770965,-0.01797315811613882,0.00912573227255578,404,0.5277,0.9067500000000001,False,-0.004358683573770965,0.0
reproduction,lexical_f1,gemma-2-9b,1,P4b,-0.008967126123366965,-0.02500308863063759,0.007154694079639965,404,0.2805,0.7144615384615385,False,-0.004358683573770965,-0.004608442549596
reproduction,lexical_f1,gemma-2-9b,1,P1b,-0.011738365354732924,-0.026025310893036387,0.002525200343250605,404,0.1048,0.5385000000000001,False,-0.004358683573770965,-0.007379681780961959
reproduction,lexical_f1,gemma-2-9b,5,P5a,-0.0028376807665620126,-0.0174430602523038,0.012325156057422617,404,0.7112,0.9067500000000001,False,-0.004994622186317576,0.002156941419755563
reproduction,lexical_f1,gemma-2-9b,5,P1a,-0.004994622186317576,-0.018387569737154576,0.008339919782446203,404,0.4606,0.893625,False,-0.004994622186317576,0.0
reproduction,lexical_f1,gemma-2-9b,5,P1b,-0.01707276819165426,-0.03320405503205094,-0.0011624135907409227,404,0.0367,0.44040000000000007,False,-0.004994622186317576,-0.012078146005336684
reproduction,lexical_f1,gemma-2-9b,5,P4b,-0.017830809773378958,-0.03349264983995385,-0.0022334199649489133,404,0.0264,0.44040000000000007,False,-0.004994622186317576,-0.012836187587061381
reproduction,test_pass,gemma-2-2b,0,P1a,,,,0,,,False,,
reproduction,test_pass,gemma-2-2b,0,P1b,,,,0,,,False,,
reproduction,test_pass,gemma-2-2b,0,P4b,,,,0,,,False,,
reproduction,test_pass,gemma-2-2b,0,P5a,,,,0,,,False,,
reproduction,test_pass,gemma-2-2b,5,P1a,,,,0,,,False,,
reproduction,test_pass,gemma-2-2b,5,P1b,,,,0,,,False,,
reproduction,test_pass,gemma-2-2b,5,P4b,,,,0,,,False,,
reproduction,test_pass,gemma-2-2b,5,P5a,,,,0,,,False,,
reproduction,test_pass,gemma-2-9b,0,P1a,,,,0,,,False,,
reproduction,test_pass,gemma-2-9b,0,P1b,,,,0,,,False,,
reproduction,test_pass,gemma-2-9b,0,P4b,,,,0,,,False,,
reproduction,test_pass,gemma-2-9b,0,P5a,,,,0,,,False,,
reproduction,test_pass,gemma-2-9b,1,P1a,,,,0,,,False,,
reproduction,test_pass,gemma-2-9b,1,P1b,,,,0,,,False,,
reproduction,test_pass,gemma-2-9b,1,P4b,,,,0,,,False,,
reproduction,test_pass,gemma-2-9b,1,P5a,,,,0,,,False,,
reproduction,test_pass,gemma-2-9b,5,P1a,,,,0,,,False,,
reproduction,test_pass,gemma-2-9b,5,P1b,,,,0,,,False,,
reproduction,test_pass,gemma-2-9b,5,P4b,,,,0,,,False,,
reproduction,test_pass,gemma-2-9b,5,P5a,,,,0,,,False,,
